date,portfolio_value,daily_return,position,switched,regime,spy_value
2025-08-19,10000.0,0.0,CASH,False,BEAR,10000.0
2025-08-20,10000.0,0.0,CASH,False,BEAR,9973.429191950554
2025-08-21,10003.3029,0.033,MO,True,BULL,9933.418655450369
2025-08-22,10001.8248,-0.0148,MO,False,BULL,10085.964492457344
2025-08-25,9910.1888,-0.9162,MO,False,BULL,10041.575000368932
2025-08-26,9532.8265,-3.8078,PDD,True,BULL,10083.61876118189
2025-08-27,9402.8088,-1.3639,PDD,False,BULL,10106.593810105145
2025-08-28,9402.8088,0.0,PDD,False,BULL,10142.385502609095
2025-08-29,9577.7401,1.8604,HPQ,True,BULL,10081.899008359465
2025-09-02,9711.9762,1.4015,HPQ,False,BULL,10007.19055372472
2025-09-03,9631.4345,-0.8293,HPQ,False,BULL,10061.424015137683
2025-09-04,9705.2644,0.7666,HPQ,False,BULL,10145.512501291261
2025-09-05,9682.0652,-0.239,WDC,True,BULL,10116.128166049995
2025-09-08,9813.5575,1.3581,WDC,False,BULL,10140.98018580468
2025-09-09,9945.0506,1.3399,WDC,False,BULL,10164.423995171961
2025-09-10,9995.5433,0.5077,WDC,False,BULL,10193.807365885563
2025-09-11,10114.4126,1.1892,WDC,False,BULL,10278.520865964509
2025-09-12,10342.5629,2.2557,MU,True,BULL,10275.080395791998
2025-09-15,10378.0853,0.3435,MU,False,BULL,10329.78454670431
2025-09-16,10447.1546,0.6655,MU,False,BULL,10315.562586319198
2025-09-17,10524.1157,0.7367,MU,False,BULL,10302.746907266162
2025-09-18,11109.5565,5.5629,MU,False,BULL,10350.88455385146
2025-09-19,10704.3516,-3.6474,MU,False,BULL,10402.15209270191
2025-09-22,10828.6759,1.1614,MU,False,BULL,10451.365187631012
2025-09-23,10857.1582,0.263,AMAT,True,BULL,10394.473487979913
2025-09-24,10887.9672,0.2838,AMAT,False,BULL,10361.401763484506
2025-09-25,10788.5141,-0.9134,AMAT,False,BULL,10313.599772525797
2025-09-26,11022.0136,2.1643,AMAT,False,BULL,10372.687701664649
2025-09-29,11121.3223,0.901,F,True,BULL,10401.838621211566
2025-09-30,11001.7387,-1.0753,F,False,BULL,10441.020628449573
2025-10-01,11286.9014,2.592,F,False,BULL,10476.599160340087
2025-10-02,11240.9069,-0.4075,F,False,BULL,10488.66540139928
2025-10-03,11654.8514,3.6825,F,False,BULL,10488.5101124456
2025-10-06,11682.4469,0.2368,F,False,BULL,10526.124762231875
2025-10-07,10964.9432,-6.1417,F,False,BULL,10487.099008475208
2025-10-08,10799.365,-1.5101,F,False,BULL,10549.634159480212
2025-10-09,10237.5001,-5.2028,DELL,True,BULL,10519.072135962906
2025-10-10,9884.3246,-3.4498,DELL,False,BULL,10234.764104022765
2025-10-13,10201.03,3.2041,CASH,True,BULL,10391.807533520472
2025-10-14,10016.1939,-1.8119,AVGO,True,BULL,10379.112420425263
2025-10-15,10225.7553,2.0922,AVGO,False,BULL,10425.191764978561
2025-10-16,10307.834,0.8027,AVGO,False,BULL,10354.192883734197
2025-10-17,10011.6116,-2.8738,CRM,True,BULL,10412.96637685504
2025-10-20,10472.8995,4.6075,CRM,False,BULL,10521.266436395334
2025-10-21,10848.9326,3.5905,CRM,False,BULL,10521.108253858663
2025-10-22,10570.1008,-2.5701,CRM,False,BULL,10466.410854639991
2025-10-23,10504.6135,-0.6196,CRM,False,BULL,10528.476280673307
2025-10-24,10694.2875,1.8056,LVS,True,BULL,10614.520828926648
2025-10-27,11035.91,3.1944,LVS,False,BULL,10739.747384417997
2025-10-28,10805.6872,-2.0861,LVS,False,BULL,10768.272325511884
2025-10-29,10913.3705,0.9965,LVS,False,BULL,10773.444122838771
2025-10-30,10621.3382,-2.6759,CARR,True,BULL,10654.956722126044
2025-10-31,10736.8463,1.0875,CARR,False,BULL,10689.907346508202
2025-11-03,10442.6617,-2.74,CARR,False,BULL,10709.96952189039
2025-11-04,10635.0386,1.8422,UBER,True,BULL,10583.018390938301
2025-11-05,10419.3498,-2.0281,UBER,False,BULL,10619.692626253536
2025-11-06,10348.5772,-0.6792,UBER,False,BULL,10505.750079887004
2025-11-07,10488.2379,1.3496,HST,True,BULL,10516.09367454078
2025-11-10,10688.1265,1.9058,HST,False,BULL,10680.190694835119
2025-11-11,10552.9087,-1.2651,HST,False,BULL,10704.639542026833
2025-11-12,10617.5771,0.6128,HST,False,BULL,10710.595500343421
2025-11-13,10419.6079,-1.8645,DIS,True,BULL,10532.863917010498
2025-11-14,10244.3501,-1.682,DIS,False,BULL,10531.141270605085
2025-11-17,10233.6992,-0.104,DIS,False,BULL,10433.027587709565
2025-11-18,10206.7512,-0.2633,JNJ,True,BULL,10345.41664653215
2025-11-19,10196.5444,-0.1,CASH,True,BEAR,10385.382814759858
2025-11-20,10196.5444,0.0,CASH,False,BEAR,10227.085499300765
2025-11-21,10196.5444,0.0,CASH,False,BEAR,10328.959875552784
2025-11-24,10196.5444,0.0,CASH,False,BEAR,10480.985832149616
2025-11-25,10196.5444,0.0,CASH,False,BEAR,10579.569240016826
2025-11-26,10196.5444,0.0,CASH,False,BEAR,10652.606168212273
2025-11-28,10278.4289,0.8031,AVGO,True,BULL,10710.752718352425
2025-12-01,9847.8648,-4.189,AVGO,False,BULL,10661.85309491367
2025-12-02,9732.8269,-1.1682,AVGO,False,BULL,10681.601798805508
2025-12-03,9755.8928,0.237,INTC,True,BULL,10718.589505611091
2025-12-04,9029.1059,-7.4497,INTC,False,BULL,10726.425328342095
2025-12-05,9167.0706,1.528,CASH,True,BULL,10746.800010686966
2025-12-08,9022.0591,-1.5819,WBD,True,BULL,10714.514376236586
2025-12-09,9363.3271,3.7826,WBD,False,BULL,10705.265520479863
2025-12-10,9784.1137,4.494,WBD,False,BULL,10776.266330779554
2025-12-11,9770.8603,-0.1355,WBD,False,BULL,10801.342120951962
2025-12-12,9933.2109,1.6616,WBD,False,BULL,10685.205274153002
2025-12-15,9843.7522,-0.9006,WBD,False,BULL,10669.06197466398
2025-12-16,9575.3768,-2.7264,WBD,False,BULL,10639.911055117067
2025-12-17,9683.2221,1.1263,CMCSA,True,BULL,10522.833793847067
2025-12-18,9545.9197,-1.4179,CASH,True,BEAR,10602.294476275465
2025-12-19,9545.9197,0.0,CASH,False,BEAR,10698.388438245489
2025-12-22,9545.9197,0.0,CASH,False,BEAR,10765.038264259168
2025-12-23,9545.9197,0.0,CASH,False,BULL,10814.238820328654
2025-12-24,9545.9197,0.0,CASH,False,BULL,10852.279791341802
2025-12-26,9439.9515,-1.1101,C,True,BULL,10851.17926527877
2025-12-29,9260.4336,-1.9017,C,False,BULL,10812.509422229603
2025-12-30,9188.3132,-0.7788,C,False,BULL,10799.306003056201
2025-12-31,9064.7067,-1.3453,AES,True,BULL,10719.294575332457
2026-01-02,9368.1276,3.3473,AES,False,BULL,10738.942968347385
2026-01-05,9311.2365,-0.6073,AES,False,BULL,10810.465588112544
2026-01-06,9418.6984,1.1541,AES,False,BULL,10874.758108518814
2026-01-07,9231.1358,-1.9914,TXN,True,BULL,10839.704279676756
2026-01-08,9367.3328,1.4754,TXN,False,BULL,10838.603753613723
2026-01-09,9459.7888,0.987,TXN,False,BULL,10910.283591387886
2026-01-12,9330.3337,-1.3685,INTC,True,BULL,10927.417460786404
2026-01-13,10014.3321,7.3309,INTC,False,BULL,10905.568015645411
2026-01-14,10317.1551,3.0239,INTC,False,BULL,10851.965355323791
2026-01-15,10232.4491,-0.821,INTC,False,BULL,10881.517518378352
2026-01-16,9944.4495,-2.8146,INTC,False,BULL,10872.399838383744
2026-01-20,10092.1249,1.485,PPL,True,BULL,10651.072569228732
2026-01-21,10165.9505,0.7315,PPL,False,BULL,10773.997761717106
2026-01-22,10015.5664,-1.4793,PPL,False,BULL,10830.273128191802
2026-01-23,9850.773,-1.6454,KMI,True,BULL,10834.201649361594
2026-01-26,9774.1526,-0.7778,KMI,False,BULL,10889.219271764252
2026-01-27,9857.436,0.8521,KMI,False,BULL,10932.604690555896
2026-01-28,11082.0496,12.4232,STX,True,BULL,10931.504164492862
2026-01-29,11173.1227,0.8218,STX,False,BULL,10909.811937360873
2026-01-30,10200.3496,-8.7064,STX,False,BULL,10877.272632135226
2026-02-02,10057.1287,-1.4041,VZ,True,BULL,10931.34791101152
2026-02-03,10426.859,3.6763,VZ,False,BULL,10838.918189631731
2026-02-04,10598.1973,1.6432,VZ,False,BULL,10786.416055373147
2026-02-05,10618.4876,0.1915,VZ,False,BULL,10651.701441264751
2026-02-06,10578.5908,-0.3757,CASH,True,BEAR,10856.05205903025
2026-02-09,10578.5908,0.0,CASH,False,BEAR,10908.397939807495
2026-02-10,10578.5908,0.0,CASH,False,BEAR,10879.630902270297
2026-02-11,10578.5908,0.0,CASH,False,BULL,10877.116378653884
2026-02-12,10578.5908,0.0,CASH,False,BULL,10709.07733380248
2026-02-13,10578.5908,0.0,CASH,False,BEAR,10716.621869179377
2026-02-17,10578.5908,0.0,CASH,False,BEAR,10733.912956586899
2026-02-18,10578.5908,0.0,CASH,False,BEAR,10787.987270935531
2026-02-19,10578.5908,0.0,CASH,False,BEAR,10759.534669416342
2026-02-20,10578.5908,0.0,CASH,False,BEAR,10837.346974069349
2026-02-23,10388.2612,-1.7992,PDD,True,BULL,10726.682857228012
2026-02-24,10351.3784,-0.355,CASH,True,BEAR,10804.649486307035
2026-02-25,10351.3784,0.0,CASH,False,BEAR,10895.822428142448
2026-02-26,10351.3784,0.0,CASH,False,BEAR,10835.302175424626
2026-02-27,10351.3784,0.0,CASH,False,BULL,10783.271695193056
2026-03-02,10351.3784,0.0,CASH,False,BULL,10789.403197544236
2026-03-03,10141.6508,-2.0261,COP,True,BULL,10694.30173453903
2026-03-04,9949.4294,-1.8954,CASH,True,BEAR,10769.752875473981
2026-03-05,9949.4294,0.0,CASH,False,BEAR,10709.706205838498
2026-03-06,9949.4294,0.0,CASH,False,BEAR,10569.332707933596
2026-03-09,9949.4294,0.0,CASH,False,BEAR,10661.91964732239
2026-03-10,9949.4294,0.0,CASH,False,BEAR,10644.784813396209
2026-03-11,9949.4294,0.0,CASH,False,BEAR,10631.424176213803
2026-03-12,9949.4294,0.0,CASH,False,BEAR,10469.986358685268
2026-03-13,9949.4294,0.0,CASH,False,BEAR,10410.724814567146
2026-03-16,9949.4294,0.0,CASH,False,BEAR,10516.673355666006
2026-03-17,9949.4294,0.0,CASH,False,BEAR,10544.337938084847
2026-03-18,9949.4294,0.0,CASH,False,BEAR,10397.205994848071
2026-03-19,9949.4294,0.0,CASH,False,BEAR,10371.584282018628
2026-03-20,9949.4294,0.0,CASH,False,BEAR,10222.89944924506
2026-03-23,9949.4294,0.0,CASH,False,BEAR,10330.239803761058
2026-03-24,9949.4294,0.0,CASH,False,BEAR,10295.56310523508
2026-03-25,9949.4294,0.0,CASH,False,BEAR,10352.937068717485
2026-03-26,9949.4294,0.0,CASH,False,BEAR,10168.046761072705
2026-03-27,9949.4294,0.0,CASH,False,BEAR,9994.662303915144
2026-03-30,9949.4294,0.0,CASH,False,BEAR,9961.246243044188
2026-03-31,9949.4294,0.0,CASH,False,BEAR,10250.798411885913
2026-04-01,9949.4294,0.0,CASH,False,BEAR,10328.03296446902
2026-04-02,9949.4294,0.0,CASH,False,BEAR,10337.332940191858
2026-04-06,9949.4294,0.0,CASH,False,BEAR,10386.195911579434
2026-04-07,9949.4294,0.0,CASH,False,BEAR,10390.765843644858
2026-04-08,9949.4294,0.0,CASH,False,BEAR,10655.414872765781
2026-04-09,9949.4294,0.0,CASH,False,BEAR,10716.886149758931
2026-04-10,9949.4294,0.0,CASH,False,BEAR,10709.793977855796
2026-04-13,10515.9649,5.6942,CRWV,True,BULL,10814.45487452508
2026-04-14,11176.8486,6.2846,CRWV,False,BULL,10946.22767926253
2026-04-15,11318.9438,1.2713,CRWV,False,BULL,11032.604025031807
2026-04-16,11401.9115,0.733,CRWV,False,BULL,11059.714968572314
2026-04-17,11838.42,3.8284,ON,True,BULL,11193.379212056134
2026-04-20,12202.0861,3.0719,ON,False,BULL,11170.995418590055
2026-04-21,12394.6163,1.5778,ON,False,BULL,11097.86010857302
2026-04-22,12691.2534,2.3933,ON,False,BULL,11210.244942764446
2026-04-23,13944.834,9.8775,ON,False,BULL,11166.740887070304
2026-04-24,14033.2553,0.6341,ON,False,BULL,11253.275415376249
2026-04-27,13981.914,-0.3659,ON,False,BULL,11272.662421394612
2026-04-28,13981.2928,-0.0044,QCOM,True,BULL,11217.809733222259
2026-04-29,14540.5445,4.0,QCOM,False,BULL,11216.076477012557
2026-04-30,16738.4049,15.1154,QCOM,False,BULL,11327.67232757597
2026-05-01,16498.8584,-1.4311,QCOM,False,BULL,11359.039731691553
2026-05-04,15694.4686,-4.8754,QCOM,False,BULL,11317.42711474378
2026-05-05,15386.1389,-1.9646,DDOG,True,BULL,11408.2181036248
2026-05-06,15172.8689,-1.3861,DDOG,False,BULL,11566.785486829423
2026-05-07,19926.0688,31.327,DDOG,False,BULL,11531.320769203096
2026-05-08,21132.8464,6.0563,DDOG,False,BULL,11626.524472140536
2026-05-11,21360.8991,1.0791,DDOG,False,BULL,11653.004614589698
2026-05-12,21109.6187,-1.1764,DDOG,False,BULL,11635.350864781034
2026-05-13,21676.5815,2.6858,DDOG,False,BULL,11700.44876578558
2026-05-14,21172.4397,-2.3257,CSCO,True,BULL,11792.815792867299
2026-05-15,21663.585,2.3197,CSCO,False,BULL,11650.955957834323
2026-05-18,21786.3716,0.5668,CSCO,False,BULL,11642.759401757505
2026-05-19,21144.9495,-2.9441,CSCO,False,BULL,11565.209448628726
2026-05-20,20751.4811,-1.8608,KR,True,BULL,11683.741217613935
2026-05-21,20265.0235,-2.3442,KR,False,BULL,11706.911101125035
2026-05-22,20319.4096,0.2684,KR,False,BULL,11752.93739665689
2026-05-26,19352.215,-4.76,HPQ,True,BULL,11830.960932868007
2026-05-27,20191.8931,4.3389,HPQ,False,BULL,11828.91131158497
2026-05-28,19811.6614,-1.8831,HPQ,False,BULL,11894.166430598521
2026-05-29,21419.7262,8.1168,HPQ,False,BULL,11923.79961397674
2026-06-01,23241.6699,8.5059,HPQ,False,BULL,11956.26947321068
2026-06-02,21617.7631,-6.987,HPQ,False,BULL,11972.50536735531
2026-06-03,20627.5757,-4.5804,HPQ,False,BULL,11888.492114359415
2026-06-04,20831.9988,0.991,MDT,True,BULL,11933.41499024525
2026-06-05,20765.8897,-0.3173,MDT,False,BULL,11625.421052494514
2026-06-08,20516.711,-1.1999,MDT,False,BULL,11651.743012407007
2026-06-09,20844.714,1.5987,MDT,False,BULL,11617.539896963366
2026-06-10,20404.8321,-2.1103,MDT,False,BULL,11434.382845528291
2026-06-11,20425.1753,0.0997,MDT,False,BULL,11628.731311432577
2026-06-12,20664.6452,1.1724,CVS,True,BULL,11691.622373145081
2026-06-15,20405.2238,-1.2554,CVS,False,BULL,11897.792090082254
2026-06-16,20413.3298,0.0397,CVS,False,BULL,11826.862654829598
2026-06-17,22307.3637,9.2784,MRNA,True,BULL,11679.170321020849
2026-06-18,23087.0385,3.4951,MRNA,False,BULL,11800.598566576859
2026-06-22,21421.2062,-7.2154,MRNA,False,BULL,11763.462322511235
2026-06-23,22018.5955,2.7888,MRNA,False,BULL,11592.633863659577
2026-06-24,22096.2747,0.3528,CNP,True,BULL,11587.260480051205
2026-06-25,22277.6398,0.8208,CNP,False,BULL,11604.011431967669
2026-06-26,22690.7483,1.8544,CNP,False,BULL,11520.098489848684
2026-06-29,22557.3337,-0.588,CASH,True,BEAR,11709.890527074822
2026-06-30,22557.3337,0.0,CASH,False,BEAR,11801.073114186862
2026-07-01,22557.3337,0.0,CASH,False,BEAR,11785.112110426071
2026-07-02,22557.3337,0.0,CASH,False,BULL,11769.625654275284
2026-07-06,22557.3337,0.0,CASH,False,BULL,11872.34399223208
2026-07-07,22131.6531,-1.8871,BA,True,BULL,11815.927804718642
2026-07-08,21488.758,-2.9049,BA,False,BULL,11779.423326272026
2026-07-09,21312.989,-0.818,BA,False,BULL,11879.139089615133
2026-07-10,21325.6793,0.0595,AES,True,BULL,11930.340076056864
2026-07-13,21296.8218,-0.1353,AES,False,BULL,11838.999306408157
2026-07-14,21354.5368,0.271,AES,False,BULL,11881.035350999815
2026-07-15,21368.9663,0.0676,AES,False,BULL,11928.12744959885
2026-07-16,21354.5368,-0.0675,AES,False,BULL,11863.493486400017
2026-07-17,21244.3267,-0.5161,ABT,True,BULL,11746.078640448104
2026-07-20,21451.1157,0.9734,ABT,False,BULL,11727.116026601287
2026-07-21,21031.2078,-1.9575,ABT,False,BULL,11824.935528559712
2026-07-22,21221.1157,0.903,ABT,False,BULL,11811.186186729277
2026-07-23,21051.7838,-0.7979,T,True,BULL,11665.326455479477
2026-07-24,21067.3717,0.074,CASH,True,BEAR,11677.178571397568
2026-07-27,21067.3717,0.0,CASH,False,BEAR,11679.707562928921
2026-07-28,21067.3717,0.0,CASH,False,BEAR,11707.677900616807
2026-07-29,21067.3717,0.0,CASH,False,BEAR,11527.526317378408
2026-07-30,21067.3717,0.0,CASH,False,BEAR,11720.794512300574
2026-07-31,21067.3717,0.0,CASH,False,BEAR,11805.18200202956
2026-08-03,21067.3717,0.0,CASH,False,BEAR,11973.3232868132
2026-08-04,20998.0005,-0.3293,DXCM,True,BULL,12189.190364870206
2026-08-05,19964.2828,-4.9229,DXCM,False,BULL,12164.853402887353
2026-08-06,20051.2294,0.4355,DXCM,False,BULL,12145.416241430534
2026-08-07,18541.1661,-7.531,ZTS,True,BULL,12219.689694089442
2026-08-10,18456.3447,-0.4575,CASH,True,BULL,12216.055353856746
2026-08-11,18419.0305,-0.2022,NEM,True,BULL,12177.021883878779
2026-08-12,18518.0317,0.5375,NEM,False,BULL,12207.521213098016
2026-08-13,17944.4514,-3.0974,NEM,False,BULL,12292.698650982677
2026-08-14,17470.6108,-2.6406,HPQ,True,BULL,12268.362653527485
2026-08-17,17058.6496,-2.358,HPQ,False,BULL,12210.365605175037
