entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,best_ticker,best_score,score_delta
2025-08-21,2025-08-26,MDT,90.3813,89.5193,-0.954,SWITCH,RKLB,0.8158,0.4058
2025-08-26,2025-08-29,RKLB,47.73,47.85,0.251,SWITCH,HPQ,0.9025,0.2459
2025-08-29,2025-09-05,HPQ,26.7286,27.6322,3.381,SWITCH,SNDK,0.9807,0.3323
2025-09-05,2025-09-10,SNDK,65.52,72.42,10.531,SWITCH,NBIS,0.9514,0.3797
2025-09-10,2025-09-15,NBIS,91.64,92.61,1.058,SWITCH,WBD,0.9588,0.3748
2025-09-15,2025-09-18,WBD,18.77,17.86,-4.848,SWITCH,PDD,0.9138,0.6038
2025-09-18,2025-09-23,PDD,133.43,128.2,-3.92,SWITCH,AMAT,0.8988,0.4507
2025-09-23,2025-09-26,AMAT,200.3371,199.1126,-0.611,SWITCH,INTC,0.9423,0.3928
2025-09-26,2025-10-01,INTC,35.02,33.53,-4.255,SWITCH,PFE,0.9641,0.6465
2025-10-01,2025-10-06,PFE,24.268,25.4828,5.006,SWITCH,SHOP,0.9345,0.2469
2025-10-06,2025-10-09,SHOP,166.55,166.695,0.087,SWITCH,DELL,0.9435,0.2181
2025-10-09,2025-10-13,DELL,162.2524,153.5928,-5.337,STOP_LOSS,,0.0,0.0
2025-10-14,2025-10-17,AVGO,348.1788,347.6616,-0.149,SWITCH,CRM,0.8702,0.2239
2025-10-17,2025-10-23,CRM,244.9264,255.8828,4.473,SWITCH,APH,0.9013,0.4646
2025-10-23,2025-10-28,APH,128.901,135.2565,4.931,SWITCH,KDP,0.9631,0.2764
2025-10-28,2025-10-30,KDP,28.3279,26.6685,-5.858,STOP_LOSS,,0.0,0.0
2025-10-31,2025-11-05,BMY,43.9838,44.0612,0.176,SWITCH,ROL,0.7808,0.1476
2025-11-05,2025-11-10,ROL,59.0522,57.2991,-2.969,SWITCH,SNDK,0.9424,0.398
2025-11-10,2025-11-17,SNDK,247.0,253.4,2.591,SWITCH,WBD,0.8271,0.1336
2025-11-17,2025-11-19,WBD,23.03,23.65,2.692,REGIME_EXIT,CASH,0.0,0.0
2025-11-28,2025-12-03,AVGO,397.1245,377.8823,-4.845,SWITCH,INTC,0.9536,0.5844
2025-12-03,2025-12-05,INTC,43.39,41.16,-5.139,STOP_LOSS,,0.0,0.0
2025-12-08,2025-12-15,WBD,27.64,29.84,7.959,SWITCH,MOS,0.8313,0.1096
2025-12-15,2025-12-17,MOS,25.2679,23.1279,-8.469,STOP_LOSS,,0.0,0.0
2025-12-23,2025-12-29,RKLB,73.81,69.5,-5.839,SWITCH,FCX,0.7693,0.6018
2025-12-29,2026-01-02,FCX,51.2045,51.3634,0.31,SWITCH,NKE,0.8348,0.4073
2026-01-02,2026-01-07,NKE,63.0141,64.5107,2.375,SWITCH,MCHP,0.9508,0.3726
2026-01-07,2026-01-12,MCHP,72.2696,74.5052,3.093,SWITCH,INTC,0.9722,0.2689
2026-01-12,2026-01-16,INTC,44.24,49.27,11.37,SWITCH,KLAC,0.9095,0.4234
2026-01-16,2026-01-22,KLAC,156.8849,154.3413,-1.621,SWITCH,INTC,0.9199,0.2902
2026-01-22,2026-01-26,INTC,54.21,44.28,-18.318,STOP_LOSS,,0.0,0.0
2026-01-27,2026-01-30,BKR,55.7955,55.7362,-0.106,SWITCH,META,0.988,0.3948
2026-01-30,2026-02-04,META,726.2046,686.5054,-5.467,SWITCH,AES,0.9354,0.5361
2026-02-04,2026-02-06,AES,15.5007,15.5397,0.252,REGIME_EXIT,CASH,0.0,0.0
2026-02-23,2026-02-24,COHR,248.18,253.25,2.043,REGIME_EXIT,CASH,0.0,0.0
