Date,Current_Position,Action,Switch_To,Reason,Outcome
2026-05-01,IONQ,SWITCH,CAT,Best candidate CAT scores 0.846 vs current IONQ at 0.574 (edge ??=+0.272 exceeds threshold 0.18),
2026-05-04,CAT,SWITCH,DDOG,Best candidate DDOG scores 0.781 vs current CAT at 0.597 (edge ??=+0.184 exceeds threshold 0.18),
2026-05-05,FANG,HOLD,,Current FANG scores 0.772; best candidate TSN scores 0.843 (??=+0.071 ??? threshold 0.18 ??? hold advantage),
2026-05-06,FANG,SWITCH,ADM,Best candidate ADM scores 0.852 vs current FANG at 0.557 (edge ??=+0.295 exceeds threshold 0.18),
2026-05-07,CASH,SWITCH,LYV,Best candidate LYV scores 0.837 vs current CASH at 0.500 (edge Δ=+0.337 exceeds threshold 0.18),
2026-05-08,LYV,SWITCH,VTRS,Best candidate VTRS scores 0.855 vs current LYV at 0.601 (edge Δ=+0.254 exceeds threshold 0.18),
2026-05-11,VTRS,SWITCH,CSCO,Best candidate CSCO scores 0.763 vs current VTRS at 0.560 (edge Δ=+0.203 exceeds threshold 0.18),
2026-05-12,CSCO,HOLD,,Current CSCO scores 0.669; best candidate CVS scores 0.690 (Δ=+0.021 ≤ threshold 0.18 — hold advantage),
2026-05-13,CSCO,HOLD,,Current CSCO scores 0.756; best candidate F scores 0.779 (Δ=+0.023 ≤ threshold 0.18 — hold advantage),
2026-05-14,CSCO,HOLD,,Current CSCO scores 0.740; best candidate F scores 0.737 (Δ=-0.003 ≤ threshold 0.18 — hold advantage),
2026-05-15,CSCO,HOLD,,Current CSCO scores 0.659; best candidate PANW scores 0.726 (Δ=+0.067 ≤ threshold 0.18 — hold advantage),
2026-05-18,CSCO,HOLD,,Current CSCO scores 0.660; best candidate XOM scores 0.728 (Δ=+0.068 ≤ threshold 0.18 — hold advantage),
2026-05-18,CSCO,SWITCH,D,Best candidate D scores 0.774 vs current CSCO at 0.525 (edge Δ=+0.249 exceeds threshold 0.18),
2026-05-19,D,HOLD,,Current D scores 0.639; best candidate WMT scores 0.728 (Δ=+0.089 ≤ threshold 0.18 — hold advantage),
2026-05-21,D,HOLD,,Current D scores 0.619; best candidate TJX scores 0.793 (Δ=+0.174 ≤ threshold 0.18 — hold advantage),
